"New Jersey","90.5%","","","","American Indian/Alaska Native: 92%","Asian/Pacific Islander: 96.6%","Hispanic: 84.3%","Black: 83.4%","White: 94.5%"
"New Mexico","71.1%","","","","American Indian/Alaska Native: 61%","Asian/Pacific Islander: 85%","Hispanic: 70.5%","Black: 68%","White: 76.4%"
"New York","81.8%","","","","American Indian/Alaska Native: 67%","Asian/Pacific Islander: 87.7%","Hispanic: 71.2%","Black: 71.5%","White: 89.8%"
"North Carolina","86.6%","","","","American Indian/Alaska Native: 84%","Asian/Pacific Islander: 93.8%","Hispanic: 80.6%","Black: 83.9%","White: 89.3%"
"North Dakota","87.2%","","","","American Indian/Alaska Native: 68%","Asian/Pacific Islander: 80%","Hispanic: 76%","Black: 75%","White: 90.5%"
"Ohio","84.2%","","","","American Indian/Alaska Native: 76%","Asian/Pacific Islander: 88%","Hispanic: 73.6%","Black: 68.6%","White: 88.2%"
"Oklahoma","82.6%","","","","American Indian/Alaska Native: 82.7%","Asian/Pacific Islander: 86%","Hispanic: 79.3%","Black: 80.3%","White: 83.7%"
"Oregon","76.7%","","","","American Indian/Alaska Native: 59%","Asian/Pacific Islander: 86%","Hispanic: 72.5%","Black: 68%","White: 78.0%"
"Pennsylvania","86.6%","","","","American Indian/Alaska Native: 73%","Asian/Pacific Islander: 92.4%","Hispanic: 73.8%","Black: 73.8%","White: 91.0%"
"Rhode Island","84.1%","","","","American Indian/Alaska Native: 73%","Asian/Pacific Islander: 88%","Hispanic: 76%","Black: 81%","White: 87.7%"
"South Carolina","83.6%","","","","American Indian/Alaska Native: 76%","Asian/Pacific Islander: 93%","Hispanic: 80.5%","Black: 81.3%","White: 85.2%"
"South Dakota","83.7%","","","","American Indian/Alaska Native: 50%","Asian/Pacific Islander: 85%","Hispanic: 71%","Black: 78%","White: 89.5%"
"Tennessee","89.8%","","","","American Indian/Alaska Native: 89%","Asian/Pacific Islander: 94%","Hispanic: 83.8%","Black: 84.0%","White: 92.6%"
"Texas","89.7%","","","","American Indian/Alaska Native: 86%","Asian/Pacific Islander: 95.8%","Hispanic: 87.7%","Black: 86.1%","White: 93.6%"
"Utah","86.0%","","","","American Indian/Alaska Native: 74%","Asian/Pacific Islander: 87%","Hispanic: 77.3%","Black: 73%","White: 88.3%"
"Vermont","89.1%","","","","","Asian/Pacific Islander: 82%","Hispanic: 90%","Black: 77%","White: 89.8%"
"Virginia","86.9%","","","","American Indian/Alaska Native: 83%","Asian/Pacific Islander: 93.4%","Hispanic: 73.0%","Black: 82.8%","White: 91.3%"
"Washington","79.4%","","","","American Indian/Alaska Native: 62%","Asian/Pacific Islander: 85.3%","Hispanic: 72.7%","Black: 71.5%","White: 81.9%"
"West Virginia","89.4%","","","","","Asian/Pacific Islander: 92%","Hispanic: 92%","Black: 87%","White: 89.5%"
"Wisconsin","88.6%","","","","American Indian/Alaska Native: 79%","Asian/Pacific Islander: 91%","Hispanic: 80.3%","Black: 67.0%","White: 92.7%"
"Wyoming","86.2%","","","","American Indian/Alaska Native: 59%","Asian/Pacific Islander: 84%","Hispanic: 80%","Black: 83%","White: 87.5%"
